Region,Country,Year,Oil,Natural Gas,Coal,Nuclear energy,Renewables
Europe,Norway,2019,0.386373462,0.161779942,0.033652871,0,1.185005428
Europe,Poland,2019,1.344660397,0.733574435,1.910427098,0,0.288113266
Europe,Portugal,2019,0.509545284,0.220645696,0.057652236,0,0.255023325
Europe,Romania,2019,0.453322581,0.391853595,0.191566114,0.100554199,0.233637615
Europe,Spain,2019,2.719561189,1.299984501,0.210056021,0.520949121,0.970799558
Europe,Sweden,2019,0.57495607,0.037772488,0.084711116,0.597438967,0.94685
Europe,Switzerland,2019,0.444318495,0.122394214,0.00429,0.205298156,0.353859957
Europe,Turkey,2019,2.032382811,1.55592282,1.69646303,0,1.205483155
Europe,Ukraine,2019,0.439276851,1.015309735,1.103228166,0.739915787,0.10759554
Europe,United Kingdom,2019,3.105535483,2.838301049,0.262245828,0.500844893,1.133234944
Europe,Other Europe,2019,2.632797992,1.084026178,1.433142702,0.337654257,1.183505969
CIS,Azerbaijan,2019,0.214999111,0.424412483,0.0000516,0,0.016261115
CIS,Belarus,2019,0.317922106,0.693485407,0.039486012,0,0.006714681
CIS,Kazakhstan,2019,0.687116703,0.644503222,1.671917916,0,0.096263158
CIS,Russian Federation,2019,6.568993437,15.99525796,3.628824171,1.862977542,1.748968085
CIS,Turkmenistan,2019,0.312028241,1.135174865,0,0,9.01601E-05
CIS,Uzbekistan,2019,0.090132951,1.562881879,0.07269605,0,0.05797744
CIS,Other CIS,2019,0.181171704,0.198431965,0.116909723,0.019592023,0.317993084
Middle East,Iran,2019,3.921648659,8.050259992,0.051729068,0.057146822,0.263113511
Middle East,Iraq,2019,1.486733479,0.717237338,0,0,0.02259879
Middle East,Israel,2019,0.502684073,0.3877875,0.209421348,0,0.026163315
Middle East,Kuwait,2019,0.782001176,0.846583359,0.007594998,0,0.001425145
Middle East,Oman,2019,0.606716935,0.900342817,0.006882322,0,3.34756E-05
Middle East,Qatar,2019,0.543187537,1.478624912,0,0,0.001098323
Middle East,Saudi Arabia,2019,6.924180656,4.091194309,0.004281774,0,0.015876888
Middle East,United Arab Emirates,2019,1.954334675,2.735660971,0.10300571,0,0.037229726
Middle East,Other Middle East,2019,1.082429152,0.893014501,0.016518797,0,0.048389147
Africa,Algeria,2019,0.881737121,1.62855,0.020934,0,0.006922015
Africa,Egypt,2019,1.503893022,2.122029551,0.083138728,0,0.177035446
Africa,Morocco,2019,0.567599996,0.035124658,0.279052297,0,0.067245024
Africa,South Africa,2019,1.183478327,0.154189703,3.813803893,0.126710709,0.122678668
Africa,Other Africa,2019,4.141931379,1.464706614,0.275458398,0,1.214640759
Asia Pacific,Australia,2019,2.142717008,1.934650224,1.783109994,0,0.54910729
Asia Pacific,Bangladesh,2019,0.365837035,1.236814874,0.14433032,0,0.011201344
Asia Pacific,China,2019,27.90604803,11.06401011,81.67479649,3.10844408,17.94591928
Asia Pacific,China Hong Kong SAR,2019,0.869544247,0.112181841,0.258369,0,0.001229548
Asia Pacific,India,2019,10.23814193,2.148510568,18.61998742,0.402599134,2.650275403
Asia Pacific,Indonesia,2019,3.384918641,1.577425039,3.406217814,0,0.542701324
Asia Pacific,Japan,2019,7.532475731,3.892361885,4.905217152,0.585104203,1.758579482
Asia Pacific,Malaysia,2019,1.569656426,1.522376641,0.897672969,0,0.272192061
Asia Pacific,New Zealand,2019,0.357088324,0.172784031,0.062045989,0,0.324545539
Asia Pacific,Pakistan,2019,0.902414327,1.643914155,0.550560568,0.084863978,0.378755056
Asia Pacific,Philippines,2019,0.911414806,0.146895433,0.729494889,0,0.236174094
Asia Pacific,Singapore,2019,3.056358664,0.458679838,0.026147891,0,0.008478532
Asia Pacific,South Korea,2019,5.304121099,2.014813764,3.4363161,1.301410099,0.314164075
Asia Pacific,Sri Lanka,2019,0.245187718,0,0.063040648,0,0.050394673
Asia Pacific,Taiwan,2019,1.933706469,0.837353555,1.630499839,0.288143335,0.120721983
Asia Pacific,Thailand,2019,2.723069644,1.829973275,0.713991077,0,0.347228256
Asia Pacific,Vietnam,2019,1.06769679,0.354698874,2.069962761,0,0.626783467
Asia Pacific,Other Asia Pacific,2019,1.028945774,0.369827859,1.24666808,0,0.575858485
